id_venta,fecha,producto,categoria,cantidad,precio_unitario,vendedor,region,metodo_pago,cliente_frecuente
304,2025-08-08,Teclado mecánico,Accesorios,3,25310.0,Kevin Solano,Alajuela,Sinpe Móvil,No
501,2025-09-16,Monitor 27 pulgadas curvo,Monitores,2,273125.0,Ana Rojas,Puntarenas,Transferencia,No
956,2025-03-21,Funda protectora celular,Accesorios,4,7393.0,Marisol Vargas,Cartago,Sinpe Móvil,No
43,2025-06-08,Celular gama alta,Celulares,1,419700.0,Ana Rojas,San José,Efectivo,No
215,2025-05-04,Celular gama media,Celulares,1,229000.0,Marisol Vargas,Cartago,Sinpe Móvil,Sí
858,2025-02-10,Monitor 24 pulgadas,Monitores,4,153773.0,Marisol Vargas,Limón,Transferencia,No
94,01/08/2025,Parlante bluetooth,Audio,1,25300.0,Fabiola Araya,Cartago,Transferencia,No
539,2025-03-15,Laptop gamer 15 pulgadas,Laptops,4,1163726.0,Kevin Solano,Puntarenas,Efectivo,No
108,2025-05-31,Teclado mecánico,Accesorios,2,34300.0,Ana Rojas,Limón,Tarjeta,No
298,2025-08-29,Laptop 14 pulgadas,Laptops,1,559766.0,Luis Chinchilla,,Efectivo,Sí
962,17/02/2025,Laptop gamer 15 pulgadas,Laptops,4,948057.0,Fabiola Araya,Heredia,Efectivo,Sí
714,2025-05-10,Laptop 14 pulgadas,Laptops,4,548448.0,Ana Rojas,San José,Tarjeta,No
443,2025-01-17,Mouse inalámbrico,Accesorios,5,7513.0,Fabiola Araya,Cartago,Transferencia,No
320,2025-06-05,Audífonos inalámbricos,Audio,1,38854.0,Luis Chinchilla,Heredia,Sinpe Móvil,Sí
1001,2025-09-06,Monitor 24 pulgadas,Monitores,1,118877.0,Luis Chinchilla,Limón,Transferencia,No
173,2025-09-17,Parlante bluetooth,Audio,3,41300.0,Fabiola Araya,Cartago,Sinpe Móvil,No
165,2025-03-15,Parlante bluetooth,Audio,-1,48700.0,marisol vargas,Heredia,Efectivo,No
224,2025-05-23,Celular gama alta,Celulares,1,615406.0,ANA ROJAS,San José,Sinpe Móvil,no
472,2025-07-21,Audífonos inalámbricos,Audio,-5,32744.0,Kevin Solano,Heredia,Transferencia,No
893,2025-01-20,Laptop 14 pulgadas,Laptops,4,465357.0,Ana Rojas,Cartago,Transferencia,Sí
947,2025-09-27,Teclado mecánico,Accesorios,4,33968.0,Ana Rojas,Heredia,Tarjeta,Sí
367,2025-08-16,Funda protectora celular,Accesorios,2,7221.0,Luis Chinchilla,San José,Transferencia,No
471,2025-09-23,Funda protectora celular,Accesorios,4,3900.0,Marisol Vargas,Puntarenas,Transferencia,No
820,2025-04-10,Celular gama alta,Celulares,4,671806.0,Marisol Vargas,Alajuela,Transferencia,Sí
340,2025-05-17,Monitor 27 pulgadas curvo,Monitores,1,244718.0,Kevin Solano,Limón,Sinpe Móvil,Sí
32,18/03/2025,Funda protectora celular,Accesorios,2,,Fabiola Araya,Puntarenas,Efectivo,No
897,2025-04-27,Laptop 14 pulgadas,Laptops,5,602877.0,Fabiola Araya,Alajuela,Transferencia,Sí
398,2025-02-10,Monitor 27 pulgadas curvo,Monitores,4,302311.0,Kevin Solano,Puntarenas,Transferencia,Sí
258,2025-01-21,Celular gama alta,Celulares,5,392055.0,Marisol Vargas,Heredia,Transferencia,No
426,2025-05-02,Monitor 24 pulgadas,Monitores,3,,Ana Rojas,Guanacaste,Sinpe Móvil,Sí
81,2025-05-17,Mouse inalámbrico,Accesorios,3,,Marisol Vargas,Limón,Sinpe Móvil,No
93,2025-03-12,Cargador portátil (power bank),Accesorios,2,20700.0,Ana Rojas,Cartago,Sinpe Móvil,Sí
453,2025-04-04,Audífonos inalámbricos,Audio,2,25383.0,Luis Chinchilla,Limón,Tarjeta,Sí
900,2025-06-22,Audífonos inalámbricos,Audio,1,26421.0,Luis Chinchilla,Heredia,Sinpe Móvil,No
703,11/06/2025,Audífonos inalámbricos,Audio,2,33695.0,Fabiola Araya,Cartago,Efectivo,No
70,2025-04-29,Laptop 14 pulgadas,Laptops,1,456300.0,Kevin Solano,San José,Efectivo,No
764,2025-02-03,Celular gama media,Celulares,2,240495.0,Ana Rojas,Limón,Sinpe Móvil,Sí
163,2025-05-16,Teclado mecánico,Accesorios,2,,Kevin Solano,Puntarenas,Tarjeta,No
78,2025-08-13,Audífonos inalámbricos,Audio,4,29500.0,Ana Rojas,,Efectivo,No
524,2025-09-12,Monitor 27 pulgadas curvo,Monitores,4,226664.0,Fabiola Araya,Limón,Transferencia,Sí
607,2025-07-25,Mouse inalámbrico,Accesorios,1,10728.0,Marisol Vargas,Heredia,Efectivo,No
